,Correlation
floor_area_sqm,0.6193174245275016
street_name,0.4876219657499185
lease_commence_date,0.38723846820200264
remaining_lease,0.3383024372894258
town_median,0.27068123532429256
flat_model,0.267627451527305
town,0.26758018880728746
town_mean,0.26758018880728746
year,0.22397191492916152
town_std,0.1910391832977033
month_cos,0.024267767174181713
month_sin,0.009608218471988832
town_count,-0.15789759752956253
flat_type,-0.48963636798725346
storey_range_numeric,
